id,url,name,cap,ser,wh,price,pwh,stock,whouse
51382,http://www.hobbyking.com/hobbyking/store/__51382__Rhino_2350mAh_3S1P_30C_Lipoly_Pack_UK_Warehouse_.html,Rhino 2350mAh 3S1P 30C Lipoly Pack  (UK Warehouse),2350,3,26.085,16.1,0.6172129576384896,9,GB
37542,http://www.hobbyking.com/hobbyking/store/__37542__Turnigy_nano_tech_1500mah_3S_35_70C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 1500mah 3S 35~70C Lipo Pack (UK Warehouse),1500,3,16.650000000000002,15.9,0.9549549549549549,0,GB
26730,http://www.hobbyking.com/hobbyking/store/__26730__Turnigy_3000mAh_2S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 3000mAh 2S 30C Lipo Pack (UK Warehouse),3000,2,22.2,16.3,0.7342342342342343,-1,GB
29008,http://www.hobbyking.com/hobbyking/store/__29008__Turnigy_nano_tech_1800mah_3S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 1800mah 3S 25~50C Lipo Pack (UK Warehouse),1800,3,19.98,16.0,0.8008008008008007,50,GB
26749,http://www.hobbyking.com/hobbyking/store/__26749__Turnigy_2200mAh_3S_35C_Lipo_Pack_UK_Warehouse_.html,Turnigy 2200mAh 3S 35C Lipo Pack (UK Warehouse),2200,3,24.42,16.55,0.6777231777231777,50,GB
32096,http://www.hobbyking.com/hobbyking/store/__32096__ZIPPY_Compact_3700mAh_2S_25C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 3700mAh 2S 25C Lipo Pack (UK Warehouse),3700,2,27.380000000000003,15.98,0.5836376917457998,50,GB
34265,http://www.hobbyking.com/hobbyking/store/__34265__Turnigy_3000mAh_3S_20C_Lipo_Pack_UK_Warehouse_.html,Turnigy 3000mAh 3S 20C Lipo Pack (UK Warehouse),3000,3,33.300000000000004,15.95,0.4789789789789789,0,GB
37352,http://www.hobbyking.com/hobbyking/store/__37352__ZIPPY_Flightmax_3000mAh_2S1P_40C_UK_Warehouse_.html,ZIPPY Flightmax 3000mAh 2S1P 40C (UK Warehouse),3000,2,22.2,16.67,0.750900900900901,1,GB
32109,http://www.hobbyking.com/hobbyking/store/__32109__ZIPPY_Compact_3300mAh_2S_35C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 3300mAh 2S 35C Lipo Pack (UK Warehouse),3300,2,24.42,16.67,0.6826371826371826,15,GB
31928,http://www.hobbyking.com/hobbyking/store/__31928__Turnigy_3300mAh_3S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 3300mAh 3S 30C Lipo Pack (UK Warehouse),3300,3,36.63,16.99,0.46382746382746376,50,GB
26752,http://www.hobbyking.com/hobbyking/store/__26752__Turnigy_1600mAh_3S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1600mAh 3S 30C Lipo Pack (UK Warehouse),1600,3,17.76,15.95,0.8980855855855855,50,GB
26762,http://www.hobbyking.com/hobbyking/store/__26762__Turnigy_1800mAh_3S_40C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1800mAh 3S 40C Lipo Pack (UK Warehouse),1800,3,19.98,16.4,0.8208208208208208,0,GB
34279,http://www.hobbyking.com/hobbyking/store/__34279__Turnigy_nano_tech_3300mah_2S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 3300mah 2S 25~50C Lipo Pack (UK Warehouse),3300,2,24.42,16.45,0.6736281736281735,39,GB
34373,http://www.hobbyking.com/hobbyking/store/__34373__Turnigy_nano_tech_2500mAh_3S1P_5_10C_Transmitter_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 2500mAh 3S1P 5~10C Transmitter Lipo Pack (UK Warehouse),2500,3,27.75,15.99,0.5762162162162162,26,GB
34374,http://www.hobbyking.com/hobbyking/store/__34374__Turnigy_nano_tech_2500mAh_3S1P_5_10C_Transmitter_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 2500mAh 3S1P 5~10C Transmitter Lipo Pack (UK Warehouse),2500,3,27.75,16.05,0.5783783783783784,0,GB
31951,http://www.hobbyking.com/hobbyking/store/__31951__ZIPPY_Flightmax_5000mAh_2S1P_20C_UK_Warehouse_.html,ZIPPY Flightmax 5000mAh 2S1P 20C (UK Warehouse),5000,2,37.0,16.6,0.4486486486486487,18,GB
31935,http://www.hobbyking.com/hobbyking/store/__31935__Turnigy_2650mAh_2S_40C_Lipo_Pack_UK_Warehouse_.html,Turnigy 2650mAh 2S 40C Lipo Pack (UK Warehouse),2650,2,19.61,16.59,0.845996940336563,21,GB
26724,http://www.hobbyking.com/hobbyking/store/__26724__Turnigy_3300mAh_2S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 3300mAh 2S 30C Lipo Pack (UK Warehouse),3300,2,24.42,16.75,0.6859131859131858,3,GB
37489,http://www.hobbyking.com/hobbyking/store/__37489__ZIPPY_Flightmax_4000mAh_2S1P_25C_Car_Lipoly_ROAR_APPROVED_UK_Warehouse_.html,ZIPPY Flightmax 4000mAh 2S1P 25C Car Lipoly (ROAR APPROVED) (UK Warehouse),4000,2,29.6,16.85,0.5692567567567568,0,GB
34573,http://www.hobbyking.com/hobbyking/store/__34573__ZIPPY_Compact_1800mAh_4S_25C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1800mAh 4S 25C Lipo Pack (UK Warehouse),1800,4,26.64,17.1,0.6418918918918919,-1,GB
32117,http://www.hobbyking.com/hobbyking/store/__32117__ZIPPY_Flightmax_2200mAh_3S1P_30C_UK_Warehouse_.html,ZIPPY Flightmax 2200mAh 3S1P 30C (UK Warehouse),2200,3,24.42,17.35,0.7104832104832105,29,GB
32184,http://www.hobbyking.com/hobbyking/store/__32184__ZIPPY_Flightmax_2650mAh_2S1P_40C_UK_Warehouse_.html,ZIPPY Flightmax 2650mAh 2S1P 40C (UK Warehouse),2650,2,19.61,17.55,0.8949515553289139,50,GB
26784,http://www.hobbyking.com/hobbyking/store/__26784__Turnigy_1800mAh_4S_20C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1800mAh 4S 20C Lipo Pack (UK Warehouse),1800,4,26.64,17.55,0.6587837837837838,40,GB
40129,http://www.hobbyking.com/hobbyking/store/__40129__ZIPPY_Compact_1300mAh_4S_35C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1300mAh 4S 35C Lipo Pack ( UK Warehouse ),1300,4,19.240000000000002,16.9,0.8783783783783782,7,GB
34310,http://www.hobbyking.com/hobbyking/store/__34310__Turnigy_nano_tech_2250mah_2S_65_130C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 2250mah 2S 65~130C Lipo Pack (UK Warehouse),2250,2,16.650000000000002,17.5,1.051051051051051,16,GB
34603,http://www.hobbyking.com/hobbyking/store/__34603__ZIPPY_Compact_2200mAh_3S_35C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 2200mAh 3S 35C Lipo Pack (UK Warehouse),2200,3,24.42,17.15,0.7022932022932021,50,GB
26806,http://www.hobbyking.com/hobbyking/store/__26806__Turnigy_3800mAh_2S1P_7_4v_25C_hardcase_pack_UK_Warehouse_.html,Turnigy 3800mAh 2S1P 7.4v 25C hardcase pack (UK Warehouse),3800,2,28.12,17.7,0.6294452347083925,46,GB
26671,http://www.hobbyking.com/hobbyking/store/__26671__Turnigy_5000mAh_2S_20C_Lipo_Pack_UK_Warehouse_.html,Turnigy 5000mAh 2S 20C Lipo Pack (UK Warehouse),5000,2,37.0,17.69,0.47810810810810817,50,GB
51364,http://www.hobbyking.com/hobbyking/store/__51364__Rhino_2150mAh_4S1P_20C_Lipoly_Pack_UK_Warehouse_.html,Rhino 2150mAh 4S1P 20C Lipoly Pack  (UK Warehouse),2150,4,31.82,17.75,0.5578252671275927,16,GB
44438,http://www.hobbyking.com/hobbyking/store/__44438__ZIPPY_Traxxas_3800mAh_2S1P_30C_Lipo_Pack_Suits_TRA2866_UK_Warehouse_.html,ZIPPY Traxxas 3800mAh 2S1P 30C Lipo Pack (Suits TRA2866)  (UK Warehouse),3800,2,28.12,17.8,0.6330014224751067,27,GB
34271,http://www.hobbyking.com/hobbyking/store/__34271__Turnigy_2650mAh_4S_20C_Lipo_Pack_UK_Warehouse_.html,Turnigy 2650mAh 4S 20C Lipo Pack (UK Warehouse),2650,4,39.22,17.85,0.4551249362570118,0,GB
34654,http://www.hobbyking.com/hobbyking/store/__34654__Turnigy_nano_tech_1800mah_4S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 1800mah 4S 25~50C Lipo Pack (UK Warehouse),1800,4,26.64,17.95,0.6737987987987988,0,GB
34634,http://www.hobbyking.com/hobbyking/store/__34634__ZIPPY_Compact_1800mAh_3S_35C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1800mAh 3S 35C Lipo Pack (UK Warehouse),1800,3,19.98,17.4,0.8708708708708708,0,GB
32181,http://www.hobbyking.com/hobbyking/store/__32181__ZIPPY_Flightmax_1800mAh_4S1P_40C_UK_Warehouse_.html,ZIPPY Flightmax 1800mAh 4S1P 40C (UK Warehouse),1800,4,26.64,18.0,0.6756756756756757,0,GB
32107,http://www.hobbyking.com/hobbyking/store/__32107__ZIPPY_Compact_1600mAh_4S_35C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1600mAh 4S 35C Lipo Pack (UK Warehouse),1600,4,23.68,16.8,0.7094594594594595,6,GB
31955,http://www.hobbyking.com/hobbyking/store/__31955__ZIPPY_Flightmax_3000mAh_4S1P_20C_UK_Warehouse_.html,ZIPPY Flightmax 3000mAh 4S1P 20C (UK Warehouse),3000,4,44.4,18.1,0.4076576576576577,26,GB
32243,http://www.hobbyking.com/hobbyking/store/__32243__Turnigy_nano_tech_2650mah_3S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 2650mah 3S 25~50C Lipo Pack (UK Warehouse),2650,3,29.415000000000003,16.99,0.5775964643889171,50,GB
73726,http://www.hobbyking.com/hobbyking/store/__73726__ZIPPY_Compact_1300mAh_4s_40c_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1300mAh 4s 40c Lipo Pack (UK Warehouse),1300,4,19.240000000000002,18.25,0.9485446985446985,8,GB
26708,http://www.hobbyking.com/hobbyking/store/__26708__Turnigy_3600mAh_2S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 3600mAh 2S 30C Lipo Pack (UK Warehouse),3600,2,26.64,18.2,0.6831831831831832,42,GB
31979,http://www.hobbyking.com/hobbyking/store/__31979__ZIPPY_Compact_2200mAh_4S_25C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 2200mAh 4S 25C Lipo Pack (UK Warehouse),2200,4,32.56,17.75,0.5451474201474201,0,GB
37356,http://www.hobbyking.com/hobbyking/store/__37356__ZIPPY_Flightmax_4000mAh_2S1P_40C_UK_Warehouse_.html,ZIPPY Flightmax 4000mAh 2S1P 40C (UK Warehouse),4000,2,29.6,18.95,0.6402027027027026,28,GB
26651,http://www.hobbyking.com/hobbyking/store/__26651__Turnigy_nano_tech_2200mah_3S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 2200mah 3S 25~50C Lipo Pack (UK Warehouse),2200,3,24.42,18.67,0.7645372645372646,50,GB
33630,http://www.hobbyking.com/hobbyking/store/__33630__Turnigy_3000mAh_2S_40C_Lipo_Pack_UK_Warehouse_.html,Turnigy 3000mAh 2S 40C Lipo Pack (UK Warehouse),3000,2,22.2,18.35,0.8265765765765767,5,GB
34829,http://www.hobbyking.com/hobbyking/store/__34829__Turnigy_nano_tech_1300mAh_4S_45_90C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 1300mAh 4S 45~90C Lipo Pack (UK Warehouse),1300,4,19.240000000000002,18.3,0.9511434511434511,0,GB
28996,http://www.hobbyking.com/hobbyking/store/__28996__Turnigy_4000mAh_2S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 4000mAh 2S 30C Lipo Pack (UK Warehouse),4000,2,29.6,18.3,0.6182432432432432,42,GB
32266,http://www.hobbyking.com/hobbyking/store/__32266__Turnigy_nano_tech_2650mah_2S_45_90C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 2650mah 2S 45~90C Lipo Pack (UK Warehouse),2650,2,19.61,18.4,0.9382967873533911,3,GB
26745,http://www.hobbyking.com/hobbyking/store/__26745__Turnigy_2200mAh_3S_40C_Lipo_Pack_UK_Warehouse_.html,Turnigy 2200mAh 3S 40C Lipo Pack (UK Warehouse),2200,3,24.42,18.45,0.7555282555282554,3,GB
28859,http://www.hobbyking.com/hobbyking/store/__28859__Turnigy_2200mAh_4S1P_20C_Lipo_Pack_UK_Warehouse_.html,Turnigy 2200mAh 4S1P 20C Lipo Pack (UK Warehouse),2200,4,32.56,18.5,0.5681818181818181,50,GB
34280,http://www.hobbyking.com/hobbyking/store/__34280__Turnigy_nano_tech_4000mah_2S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 4000mah 2S 25~50C Lipo Pack (UK Warehouse),4000,2,29.6,19.2,0.6486486486486486,46,GB
34633,http://www.hobbyking.com/hobbyking/store/__34633__ZIPPY_Compact_1600mAh_4S_25C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1600mAh 4S 25C Lipo Pack (UK Warehouse),1600,4,23.68,18.1,0.7643581081081082,38,GB
51399,http://www.hobbyking.com/hobbyking/store/__51399__Rhino_2550mAh_3S_11_1v_40C_Lipoly_Pack_UK_Warehouse_.html,Rhino 2550mAh 3S 11.1v 40C Lipoly Pack (UK Warehouse),2550,3,28.305,18.65,0.6588941883059529,6,GB
44440,http://www.hobbyking.com/hobbyking/store/__44440__ZIPPY_Traxxas_4000mAh_2S1P_30C_Lipo_Pack_Suits_TRA2841_UK_Warehouse_.html,ZIPPY Traxxas 4000mAh 2S1P 30C Lipo Pack (Suits TRA2841) ( UK Warehouse),4000,2,29.6,18.75,0.6334459459459459,17,GB
37372,http://www.hobbyking.com/hobbyking/store/__37372__ZIPPY_Flightmax_2650mAh_4S1P_20C_UK_Warehouse_.html,ZIPPY Flightmax 2650mAh 4S1P 20C  (UK Warehouse),2650,4,39.22,18.75,0.4780724120346762,29,GB
51397,http://www.hobbyking.com/hobbyking/store/__51397__Rhino_1850mAh_3S_11_1v_40C_Lipoly_Pack_UK_Warehouse_.html,Rhino 1850mAh 3S 11.1v 40C Lipoly Pack  (UK Warehouse),1850,3,20.535,19.5,0.9495982468955442,10,GB
73734,http://www.hobbyking.com/hobbyking/store/__73734__ZIPPY_Compact_2200mAh_3s_40c_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 2200mAh 3s 40c Lipo Pack (UK Warehouse),2200,3,24.42,18.49,0.7571662571662571,35,GB
32175,http://www.hobbyking.com/hobbyking/store/__32175__ZIPPY_Flightmax_2450mAh_3S1P_30C_UK_Warehouse_.html,ZIPPY Flightmax 2450mAh 3S1P 30C (UK Warehouse),2450,3,27.195,18.95,0.6968192682478397,38,GB
51361,http://www.hobbyking.com/hobbyking/store/__51361__Rhino_2620mAh_3S_11_1v_Low_Discharge_Transmitter_Lipoly_Pack_UK_Warehouse_.html,Rhino 2620mAh 3S 11.1v Low-Discharge Transmitter Lipoly Pack  (UK Warehouse),2620,3,29.082,19.6,0.6739563991472389,48,GB
44432,http://www.hobbyking.com/hobbyking/store/__44432__Turnigy_3600mAh_2S_12C_Lipo_Receiver_Pack_UK_Warehouse_.html,Turnigy 3600mAh 2S 12C Lipo Receiver Pack  (UK Warehouse),3600,2,26.64,19.65,0.7376126126126126,24,GB
26753,http://www.hobbyking.com/hobbyking/store/__26753__Turnigy_1600mAh_4S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1600mAh 4S 30C Lipo Pack (UK Warehouse),1600,4,23.68,19.0,0.8023648648648649,27,GB
34267,http://www.hobbyking.com/hobbyking/store/__34267__Turnigy_1800mAh_3S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1800mAh 3S 30C Lipo Pack (UK Warehouse),1800,3,19.98,19.0,0.950950950950951,9,GB
